%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1777733653304575920,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653354607105,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653404728889,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653454936981,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653504892110,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653555303096,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653605206966,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653655283927,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653705430984,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653755578041,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653805495977,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653855758905,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653905726909,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733653956052064,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654006052970,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654056298017,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654106328010,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654156692981,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654206331014,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654256654024,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654306875944,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654356905937,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654406985998,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654456850051,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654506974935,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654557292938,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654607163906,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654657533884,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654707717895,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654757898092,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654807904958,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654858150005,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654908200979,0.345554971695,0.0,0.0,0.0,0.0,-0.0
1777733654958251953,0.345554971695,0.0,0.0,0.0,0.0,-0.0
